,Unnamed: 0.1,Unnamed: 0,Levy,Manufacturer,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Price
31,9200,9200,1575.0,1,2018,1,0,0,5,2,6.0,0,0,0,0,0,12,141124
32,16667,16667,1481.0,1,2017,2,0,0,2,1,6.0,1,0,0,0,1,12,141124
33,14763,14763,906.8381278879118,1,2014,3,0,0,3,3,8.0,0,1,0,0,0,12,141124
34,13760,13760,906.8381278879118,1,2018,1,0,0,2,2,8.0,0,0,0,0,0,12,141124
35,12750,12750,2566.0,10,2018,2,0,0,0,1,4.0,1,2,0,0,0,4,137885
36,6457,6457,1493.0,1,2016,1,0,0,0,2,6.0,0,1,0,0,3,12,136420
37,17962,17962,1575.0,1,2018,1,0,0,2,2,6.0,0,0,0,0,1,10,136000
38,1179,1179,690.0,5,2016,1,0,2,0,2,6.0,0,0,0,0,0,12,133284
39,3570,3570,1493.0,10,2016,3,0,0,0,2,4.0,1,2,0,0,1,4,132971
40,9120,9120,1017.0,1,2017,1,0,0,2,1,8.0,0,0,0,0,1,12,131716
41,1027,1027,906.8381278879118,7,2018,1,0,1,2,2,4.0,1,0,0,0,0,12,131716
42,10253,10253,906.8381278879118,7,2018,1,0,1,2,0,6.0,1,0,0,0,1,12,131716
43,6748,6748,1017.0,1,2017,1,0,0,2,1,8.0,0,0,0,0,1,12,131716
44,18231,18231,906.8381278879118,7,2018,1,0,1,2,2,4.0,1,0,0,0,0,12,131716
45,14473,14473,1017.0,1,2017,1,0,0,2,1,8.0,0,0,0,0,1,12,131716
46,1401,1401,1968.0,11,2019,1,0,0,0,1,4.0,1,2,0,0,1,4,131308
47,15496,15496,906.8381278879118,1,2015,3,0,1,3,2,6.0,1,1,0,0,0,16,130148
48,14151,14151,1493.0,1,2016,1,0,0,0,2,6.0,0,0,0,0,3,12,129521
49,18018,18018,906.8381278879118,9,2018,1,0,1,2,1,6.0,1,0,0,0,3,12,127000
50,15966,15966,1493.0,10,2016,3,0,0,0,2,4.0,1,2,0,0,1,4,126322
51,4183,4183,1604.0,1,2014,3,0,0,4,2,8.0,0,2,0,0,2,12,125500
52,11247,11247,906.8381278879118,8,2018,1,0,0,2,1,6.0,0,0,0,0,1,12,125444
53,3216,3216,1077.0,12,2019,0,0,0,5,0,4.0,1,2,0,0,0,4,124989
54,8629,8629,1176.0,11,2019,1,0,1,5,1,4.0,1,2,0,0,6,4,123330
55,12588,12588,906.8381278879118,2,2015,1,0,1,2,3,6.0,0,0,0,0,1,9,122308
56,12101,12101,906.8381278879118,7,2018,1,0,1,2,2,6.0,0,0,0,0,4,12,121681
57,4919,4919,3057.0,1,2019,3,0,0,4,0,12.0,1,1,0,0,0,12,121524
58,15267,15267,2297.0,1,2016,1,0,0,4,2,8.0,1,0,0,0,1,12,120740
59,3028,3028,906.8381278879118,5,2016,1,0,0,0,2,6.0,0,0,0,0,0,8,119172
60,6607,6607,906.8381278879118,1,1943,3,0,0,5,2,4.0,1,1,0,0,1,0,119172
61,573,573,1301.0,4,2014,2,0,0,3,2,8.0,0,1,0,0,1,12,119172
62,13954,13954,1342.0,10,2017,3,0,0,5,1,4.0,1,2,0,0,1,4,119009
63,16841,16841,1968.0,11,2019,1,0,0,0,1,4.0,1,2,0,0,1,4,118676
64,5322,5322,1228.0,10,2018,1,0,0,5,1,4.0,1,2,0,0,1,4,118519
65,7010,7010,906.8381278879118,2,2008,2,0,0,0,3,6.0,0,1,1,0,0,6,117604
66,5987,5987,906.8381278879118,8,2016,1,0,1,5,2,4.0,1,0,0,1,7,12,117604
67,740,740,906.8381278879118,1,2014,3,0,1,2,3,6.0,0,1,0,0,0,12,117290
68,13114,13114,906.8381278879118,7,2017,1,0,2,0,1,4.0,0,0,0,0,1,12,116036
69,2353,2353,1325.0,1,2019,4,0,1,5,0,4.0,1,0,0,0,2,12,116036
70,6953,6953,1292.0,3,2016,1,0,0,5,2,6.0,0,0,0,0,1,10,114468
71,12420,12420,915.0,3,2014,1,0,1,2,3,6.0,1,0,0,0,1,12,114468
72,1970,1970,915.0,3,2014,1,0,1,2,3,6.0,1,0,0,0,1,12,114468
73,12554,12554,1104.0,4,2015,1,0,0,5,2,6.0,0,0,0,0,0,10,114468
74,8164,8164,1017.0,4,2017,3,0,0,2,2,12.0,0,1,0,0,1,12,114154
75,14255,14255,518.0,5,2016,1,0,2,5,2,4.0,1,2,0,0,1,4,113025
76,1609,1609,906.8381278879118,13,2019,1,0,0,5,0,6.0,0,0,0,0,1,10,112900
77,9013,9013,906.8381278879118,14,2016,3,0,0,2,2,6.0,0,0,0,0,0,12,111332
78,18640,18640,906.8381278879118,5,2014,1,0,0,0,2,8.0,0,0,0,0,0,10,111332
79,3101,3101,906.8381278879118,7,2013,1,0,0,0,3,8.0,0,0,0,0,0,8,111332
80,18815,18815,1228.0,10,2018,1,0,0,5,2,4.0,1,2,0,0,3,4,111002
81,2922,2922,906.8381278879118,1,2011,3,0,0,1,2,8.0,0,1,1,0,8,10,109764
82,6096,6096,906.8381278879118,1,2018,4,0,1,2,2,8.0,1,0,0,0,4,0,109764
83,17666,17666,1575.0,7,2018,1,1,1,2,1,6.0,1,0,0,0,1,6,109764
84,10577,10577,1228.0,10,2018,1,0,0,5,1,4.0,1,2,0,0,1,4,108371
85,6825,6825,1053.0,10,2014,3,0,0,0,2,4.0,1,2,0,0,1,4,107841
86,16084,16084,518.0,5,2016,1,0,2,5,2,4.0,1,2,0,0,3,4,106957
87,12303,12303,1176.0,11,2019,5,0,1,5,1,4.0,1,2,0,0,1,4,106668
88,7723,7723,1017.0,4,2017,3,0,0,2,1,4.0,0,1,0,0,3,12,106627
89,17471,17471,906.8381278879118,15,2017,2,1,0,4,1,8.0,2,1,1,0,9,10,106627
90,9247,9247,906.8381278879118,2,2014,3,0,0,0,2,6.0,0,0,0,0,3,12,106627
91,1265,1265,906.8381278879118,4,2015,1,0,1,3,3,6.0,0,0,2,0,0,12,106627
92,14193,14193,906.8381278879118,5,2013,1,0,0,4,3,8.0,0,0,0,0,0,12,106627
93,10390,10390,1058.0,10,2012,3,0,0,0,2,4.0,1,2,0,0,0,4,104216
94,14952,14952,906.8381278879118,2,2013,1,0,1,2,2,6.0,0,0,0,0,0,12,103491
95,10238,10238,906.8381278879118,4,2018,1,0,1,2,2,6.0,0,0,0,0,4,12,103491
96,11131,11131,906.8381278879118,7,2015,1,1,1,3,2,8.0,2,0,0,0,1,0,103491
97,8910,8910,1104.0,4,2015,3,0,0,2,2,6.0,0,0,0,0,1,12,103491
98,10619,10619,906.8381278879118,16,2008,6,1,1,2,3,4.0,2,2,1,0,1,2,103491
99,13884,13884,906.8381278879118,7,2012,1,0,1,3,2,8.0,0,0,0,0,3,12,103491
100,11537,11537,906.8381278879118,2,2015,1,0,0,2,2,6.0,0,0,0,0,3,12,103178
101,9138,9138,906.8381278879118,8,2020,1,1,0,5,0,4.0,0,0,0,0,0,12,101923
102,7760,7760,906.8381278879118,1,2015,1,0,0,0,3,8.0,0,0,0,0,1,12,101923
103,6950,6950,1482.0,17,2011,2,0,0,0,1,8.0,1,1,1,0,10,12,101923
104,18383,18383,906.8381278879118,5,2017,3,0,0,0,1,6.0,1,0,0,0,2,12,100355
105,6152,6152,1292.0,1,2016,3,0,0,2,2,6.0,1,0,0,0,0,0,100355
106,15367,15367,1714.0,1,2017,1,0,0,0,2,6.0,0,0,0,0,3,12,100355
107,16614,16614,906.8381278879118,2,2013,3,0,0,0,2,8.0,0,0,0,0,2,12,100355
108,316,316,906.8381278879118,14,2016,3,0,0,2,2,6.0,1,0,0,0,0,12,100355
109,3705,3705,906.8381278879118,4,2014,1,0,0,3,0,8.0,0,0,2,0,0,12,100355
110,15048,15048,915.0,4,2014,1,0,1,2,3,6.0,0,0,0,0,1,12,100355
111,18376,18376,1176.0,11,2019,1,0,1,5,1,4.0,1,2,0,0,3,4,100060
112,10230,10230,518.0,5,2016,1,0,2,5,2,4.0,1,2,0,0,1,4,99440
113,14181,14181,1156.0,10,2017,1,0,0,5,2,4.0,1,2,0,0,0,4,99440
114,9405,9405,1356.0,5,2014,1,0,0,0,2,8.0,0,0,0,0,3,12,98787
115,2728,2728,1714.0,10,2017,1,0,0,0,1,4.0,1,2,0,0,1,4,98282
116,10372,10372,1176.0,11,2019,5,0,1,5,1,4.0,1,2,0,0,1,4,98066
117,3997,3997,1077.0,11,2019,1,0,1,5,1,4.0,1,2,0,0,1,4,97401
118,11109,11109,1076.0,11,2020,1,0,1,5,2,4.0,1,2,0,0,3,4,97235
119,10569,10569,906.8381278879118,1,2015,3,0,0,2,2,6.0,0,0,0,0,0,12,97219
120,1019,1019,1646.0,5,2015,1,0,0,0,2,8.0,0,0,0,0,2,10,97219
121,2365,2365,906.8381278879118,4,2013,3,0,0,2,2,6.0,0,1,0,0,1,12,97219
122,19085,19085,1079.0,5,2018,1,0,0,2,1,4.0,0,2,2,0,1,7,97219
123,17728,17728,906.8381278879118,5,2015,1,0,0,0,2,8.0,1,0,0,0,1,12,97219
124,1626,1626,1076.0,11,2020,1,0,0,5,0,4.0,1,2,0,0,3,4,96915
125,15245,15245,1174.0,11,2020,1,0,1,5,0,4.0,1,2,0,0,1,4,96915
126,3641,3641,1076.0,11,2020,1,0,1,5,0,4.0,1,2,0,0,1,4,96749
127,12480,12480,1076.0,11,2020,1,0,1,5,0,4.0,1,2,0,0,3,4,96749
128,17463,17463,866.0,10,2015,3,0,0,5,2,4.0,1,2,0,0,1,4,96263
129,18941,18941,866.0,10,2015,3,0,0,5,2,4.0,1,2,0,0,1,4,96263
130,8437,8437,1178.0,11,2018,1,0,1,5,0,4.0,1,2,0,0,1,4,96071
131,1740,1740,1178.0,11,2018,1,0,1,5,0,4.0,1,2,0,0,1,4,96071
132,9166,9166,1176.0,11,2019,5,0,0,5,0,4.0,1,2,0,0,4,4,95739
133,5709,5709,915.0,4,2014,1,0,1,2,2,6.0,0,0,0,0,1,0,95651
134,15031,15031,906.8381278879118,1,2011,7,0,1,2,3,6.0,2,1,1,0,1,4,95000
135,11853,11853,1156.0,10,2017,1,0,0,5,2,4.0,1,2,0,0,1,4,94528
136,16873,16873,906.8381278879118,4,2015,1,0,0,2,2,6.0,0,0,0,0,0,12,94083
137,14523,14523,906.8381278879118,2,2005,2,0,0,0,2,6.0,0,1,0,0,1,8,94083
138,2676,2676,1104.0,4,2015,1,0,1,2,2,6.0,0,0,0,0,0,12,94083
139,12593,12593,906.8381278879118,13,2020,1,0,1,2,0,6.0,1,0,0,0,0,12,94083
140,4629,4629,906.8381278879118,1,2012,3,0,0,1,3,8.0,0,0,0,0,0,12,94083
141,17141,17141,1104.0,4,2015,1,0,1,2,2,6.0,0,0,0,0,0,12,94083
142,10125,10125,431.0,4,2016,1,0,3,2,2,4.0,0,0,0,0,0,12,94083
143,17085,17085,906.8381278879118,7,2012,1,0,1,3,3,8.0,0,0,2,0,0,12,94083
144,16019,16019,1104.0,4,2015,1,0,1,5,3,6.0,1,0,0,0,0,5,94083
145,7372,7372,906.8381278879118,4,2014,1,0,1,5,3,4.0,0,0,0,0,0,12,94080
146,10220,10220,2216.0,15,2016,1,0,0,4,3,8.0,0,0,0,0,0,12,93769
147,6652,6652,1156.0,10,2017,1,0,0,5,2,4.0,1,2,0,0,0,4,93371
148,17406,17406,1866.0,15,2020,4,0,0,0,0,4.0,1,2,0,0,3,4,93079
149,12976,12976,1174.0,11,2020,1,0,1,5,0,4.0,1,2,0,0,1,4,93079
150,4211,4211,906.8381278879118,14,2015,0,0,1,2,2,6.0,0,0,0,0,3,8,92515
151,687,687,1760.0,9,2017,1,0,0,0,1,4.0,1,2,0,0,3,4,92502
152,9580,9580,1493.0,10,2016,1,0,0,0,2,4.0,1,2,0,0,1,4,92070
153,13189,13189,1011.0,10,2016,1,0,0,5,2,4.0,1,2,0,0,0,4,92070
154,14092,14092,1714.0,10,2017,1,0,0,0,2,4.0,1,2,0,0,1,4,91775
155,14012,14012,906.8381278879118,7,2017,1,1,1,5,2,6.0,0,0,0,0,3,12,90947
156,17278,17278,906.8381278879118,10,2019,4,0,1,3,1,5.0,1,0,0,0,3,8,90947
157,4077,4077,1076.0,11,2020,1,0,1,5,0,4.0,1,2,0,0,3,4,90919
158,15486,15486,906.8381278879118,4,2015,1,0,1,2,2,6.0,0,0,0,0,1,8,90006
159,7590,7590,1176.0,11,2019,1,0,1,5,2,4.0,1,2,0,0,3,4,89482
160,16525,16525,2225.0,5,2017,3,0,0,0,1,8.0,1,1,0,0,0,12,89379
161,18285,18285,906.8381278879118,4,2014,1,0,0,2,2,6.0,0,0,0,0,6,12,89379
162,9688,9688,1356.0,5,2014,1,0,0,0,3,8.0,0,0,0,0,1,12,89379
163,15586,15586,1079.0,1,2018,3,0,0,2,1,4.0,1,1,0,0,0,0,89379
164,13330,13330,906.8381278879118,1,2015,1,0,0,2,2,12.0,0,0,0,0,0,10,89379
165,11914,11914,1011.0,10,2016,1,0,0,5,2,4.0,1,2,0,0,1,4,89103
166,10690,10690,1935.0,1,2016,3,0,0,0,1,8.0,1,0,0,0,2,12,88595
167,4590,4590,1076.0,11,2020,1,0,1,5,0,4.0,1,2,0,0,1,4,88438
168,19121,19121,1076.0,11,2020,1,0,0,5,1,4.0,1,2,0,0,4,4,88438
169,16519,16519,1714.0,1,2017,1,0,0,0,2,6.0,0,0,0,0,3,12,87999
170,16483,16483,1076.0,11,2020,1,0,0,5,0,4.0,1,2,0,0,3,4,87927
171,2941,2941,906.8381278879118,1,2003,1,0,0,1,3,8.0,1,0,0,0,2,8,87811
172,17760,17760,906.8381278879118,4,2013,3,0,0,3,2,8.0,0,1,0,0,1,12,87811
173,10162,10162,906.8381278879118,7,2018,3,0,0,0,1,6.0,1,2,0,0,0,10,87811
174,650,650,906.8381278879118,7,2019,3,0,0,5,1,4.0,0,2,0,0,1,12,87497
175,7461,7461,1275.0,12,2019,3,1,0,5,0,4.0,3,0,0,0,2,6,87497
176,1573,1573,906.8381278879118,18,2019,1,0,0,5,0,4.0,0,0,0,0,3,6,87497
177,56,56,906.8381278879118,1,2019,1,0,0,2,0,4.0,0,0,0,0,3,0,87112
178,11554,11554,1572.0,1,2019,2,0,0,5,0,6.0,1,0,0,0,0,12,87027
179,15852,15852,906.8381278879118,1,2013,7,0,1,2,3,8.0,2,1,0,0,1,2,87021
180,5412,5412,906.8381278879118,1,2010,3,0,0,1,3,8.0,1,1,0,0,3,12,86243
181,8706,8706,1292.0,1,2016,1,0,0,5,2,6.0,3,0,0,0,1,12,86243
182,18720,18720,906.8381278879118,4,2012,1,0,1,0,3,6.0,0,0,0,0,0,10,86243
183,8740,8740,866.0,10,2015,8,0,0,5,2,4.0,1,2,0,0,0,4,86142
184,13572,13572,906.8381278879118,1,2013,7,0,1,2,3,6.0,2,1,1,0,1,4,85702
185,111,111,1156.0,10,2017,1,0,0,5,3,4.0,1,2,0,0,0,4,85553
186,16548,16548,906.8381278879118,7,2009,1,0,1,3,3,8.0,1,0,0,0,0,0,84675
187,14428,14428,906.8381278879118,14,2013,0,0,1,2,3,6.0,0,0,0,0,6,8,84675
188,2330,2330,906.8381278879118,1,2014,3,0,0,2,2,4.0,0,1,0,0,1,12,84675
189,8617,8617,798.0,1,2015,1,0,1,5,3,4.0,0,0,0,0,1,12,84675
190,4084,4084,906.8381278879118,3,2016,1,0,0,2,2,4.0,1,0,0,0,0,6,84675
191,3086,3086,906.8381278879118,7,2014,1,0,1,2,3,6.0,0,0,2,0,0,12,84675
192,16643,16643,915.0,4,2014,1,0,0,2,2,6.0,0,0,0,0,3,6,84675
193,15311,15311,906.8381278879118,7,2017,1,0,0,5,1,4.0,1,1,2,0,0,6,84675
194,424,424,906.8381278879118,1,2018,3,0,0,2,0,6.0,0,1,0,0,0,12,84675
195,14752,14752,1951.0,1,2015,1,0,0,4,2,8.0,1,0,0,0,1,12,83891
196,2965,2965,2578.0,15,2016,8,0,0,4,2,4.0,1,2,0,0,0,4,83251
197,10295,10295,1325.0,11,2019,5,0,1,5,1,4.0,1,2,0,0,1,4,83107
198,7339,7339,917.0,1,2013,1,0,1,2,2,6.0,0,0,0,0,3,12,83107
199,16427,16427,1714.0,1,2017,1,0,0,0,1,6.0,0,0,0,0,0,12,83107
200,8620,8620,1292.0,3,2016,1,0,1,2,2,6.0,0,0,0,0,6,12,83107
201,2192,2192,906.8381278879118,7,2014,1,1,1,5,3,8.0,1,0,0,0,0,12,83107
202,12081,12081,906.8381278879118,4,2014,1,0,0,0,2,8.0,0,0,0,0,0,12,83107
203,2372,2372,1325.0,11,2019,7,0,1,5,1,4.0,1,2,0,0,1,4,83107
204,7941,7941,906.8381278879118,4,2012,1,0,1,2,3,6.0,0,0,0,0,0,8,83107
205,3519,3519,1104.0,4,2015,1,0,0,2,2,6.0,0,0,0,0,4,12,82166
206,4301,4301,1036.0,9,2015,1,0,1,5,2,4.0,1,2,0,0,10,4,82097
207,18441,18441,1156.0,10,2017,1,0,0,5,2,4.0,1,2,0,0,1,4,81808
208,8057,8057,1156.0,10,2017,1,0,0,5,2,4.0,1,2,0,0,1,4,81808
209,9740,9740,906.8381278879118,4,2014,1,0,1,3,3,6.0,1,0,0,0,1,12,81539
210,1364,1364,1935.0,5,2016,1,0,0,0,3,8.0,1,0,0,0,1,0,81539
211,16718,16718,1935.0,5,2016,1,0,0,0,3,8.0,1,0,0,0,1,0,81539
212,1509,1509,1935.0,5,2016,1,0,0,0,3,8.0,1,0,0,0,1,0,81539
213,420,420,1935.0,5,2016,1,0,0,0,3,8.0,1,0,0,0,1,0,81539
214,10714,10714,1935.0,5,2016,1,0,0,0,3,8.0,1,0,0,0,1,0,81539
215,18620,18620,1935.0,5,2016,1,0,0,0,3,8.0,1,0,0,0,1,0,81539
216,9327,9327,1356.0,5,2014,1,0,0,0,2,8.0,0,0,0,0,0,0,81539
217,14871,14871,1935.0,5,2016,1,0,0,0,3,8.0,1,0,0,0,1,0,81539
218,13631,13631,1935.0,5,2016,1,0,0,0,3,8.0,1,0,0,0,1,0,81539
219,4465,4465,1935.0,5,2016,1,0,0,0,3,8.0,1,0,0,0,1,0,81539
220,1562,1562,1935.0,5,2016,1,0,0,0,3,8.0,1,0,0,0,1,0,81539
221,5718,5718,906.8381278879118,1,2013,1,0,0,3,3,8.0,0,0,0,0,0,12,81539
222,724,724,1360.0,5,2013,1,0,0,0,2,12.0,0,0,0,0,0,0,81539
223,5291,5291,1174.0,11,2020,1,0,1,5,1,4.0,1,2,0,0,1,4,81445
224,1557,1557,906.8381278879118,4,2015,1,0,0,3,2,6.0,0,0,0,0,0,12,81225
225,13016,13016,1174.0,11,2020,1,0,1,5,1,4.0,1,2,0,0,3,4,80958
226,437,437,1325.0,11,2019,5,0,1,5,1,4.0,1,2,0,0,0,4,80911
227,13334,13334,1076.0,11,2020,1,0,1,5,1,4.0,1,2,0,0,3,4,80651
228,6302,6302,1077.0,11,2019,1,0,1,5,2,4.0,1,2,0,0,3,4,80074
229,15336,15336,906.8381278879118,19,2018,1,0,1,5,0,4.0,1,0,0,0,3,10,80000
230,6405,6405,1360.0,5,2013,1,0,0,0,2,8.0,0,0,0,0,1,12,80000
231,455,455,906.8381278879118,5,2017,1,0,0,2,2,4.0,0,2,0,0,11,12,79971
232,18389,18389,1178.0,18,2018,1,0,1,5,2,4.0,1,2,0,0,1,4,79971
233,9136,9136,1714.0,1,2017,1,0,0,0,2,6.0,0,0,0,0,1,12,79971
234,18144,18144,906.8381278879118,1,2012,1,0,0,3,3,8.0,0,0,0,0,2,12,79971
235,15131,15131,798.0,1,2015,1,0,1,2,2,4.0,0,0,0,0,0,12,79971
236,15779,15779,906.8381278879118,14,2016,3,0,0,2,2,6.0,0,0,0,0,1,12,79971
237,5769,5769,906.8381278879118,1,2016,1,0,0,2,1,4.0,0,0,0,0,3,12,79971
238,3032,3032,1011.0,10,2016,1,0,0,5,3,4.0,1,2,0,0,1,4,79902
239,8302,8302,1058.0,10,2012,3,0,0,0,3,4.0,1,2,0,0,3,4,79782
240,10382,10382,1076.0,11,2020,1,0,1,5,0,4.0,1,2,0,0,2,4,79616
241,2182,2182,1156.0,10,2017,1,0,0,5,3,4.0,1,2,0,0,1,4,78917
242,6451,6451,831.0,12,2018,9,0,0,5,0,4.0,1,2,0,0,0,4,78829
243,10559,10559,906.8381278879118,13,2020,1,0,0,5,0,4.0,1,0,0,0,0,12,78403
244,16951,16951,906.8381278879118,4,2010,1,0,0,3,3,6.0,0,0,0,0,0,0,78403
245,17153,17153,906.8381278879118,4,2012,3,0,0,3,3,8.0,0,1,0,0,1,12,78403
246,7165,7165,906.8381278879118,5,2015,2,0,0,0,2,6.0,0,0,1,0,3,16,78403
247,9857,9857,906.8381278879118,7,2014,1,0,1,2,3,6.0,0,0,2,0,0,12,78403
248,4918,4918,906.8381278879118,8,2016,3,0,0,2,2,6.0,0,1,0,0,0,6,78403
249,1487,1487,906.8381278879118,3,2011,1,1,1,2,2,4.0,2,0,1,0,1,0,78403
250,11060,11060,906.8381278879118,3,2016,1,0,0,2,2,4.0,0,0,0,0,1,12,78403
251,13088,13088,906.8381278879118,4,2011,1,0,1,3,3,6.0,1,1,0,0,1,6,78403
252,12242,12242,906.8381278879118,1,2018,3,0,0,2,0,4.0,0,1,0,0,1,12,78403
253,9710,9710,906.8381278879118,1,2013,1,0,1,2,3,6.0,0,0,0,0,0,12,78403
254,2691,2691,906.8381278879118,7,2014,1,0,1,5,3,6.0,0,0,2,0,0,12,78403
255,13901,13901,906.8381278879118,1,2018,3,0,0,2,1,6.0,0,1,0,0,0,12,78403
256,16481,16481,1011.0,10,2016,1,0,0,5,2,4.0,1,2,0,0,1,4,78048
257,8331,8331,906.8381278879118,1,2017,2,0,0,2,0,6.0,0,1,1,0,4,12,77775
258,16056,16056,1053.0,4,2014,1,0,0,3,3,6.0,0,0,0,0,1,12,77775
259,1820,1820,906.8381278879118,7,2014,1,1,1,2,3,6.0,1,0,0,0,2,12,77775
260,90,90,1604.0,1,2014,1,0,0,4,3,8.0,1,0,0,0,0,10,77775
261,13970,13970,906.8381278879118,1,2017,1,1,0,5,0,4.0,1,0,0,0,1,6,77148
262,13846,13846,1104.0,3,2015,1,0,1,2,2,6.0,0,0,0,0,1,12,76835
263,12197,12197,1104.0,3,2015,1,0,1,2,2,6.0,0,0,0,0,0,12,76835
264,2859,2859,906.8381278879118,2,2012,3,0,0,0,2,8.0,0,1,0,0,0,8,76835
265,2535,2535,906.8381278879118,1,2014,3,0,0,2,2,4.0,0,0,0,0,0,12,76835
266,11298,11298,1011.0,10,2016,1,0,0,5,2,4.0,1,2,0,0,4,4,76029
267,5171,5171,1077.0,11,2019,1,0,1,5,1,4.0,1,2,0,0,0,4,75793
268,15538,15538,830.0,20,2019,1,1,0,5,0,4.0,1,0,1,0,2,0,75300
269,18142,18142,1292.0,4,2016,1,0,0,2,2,6.0,0,1,0,0,1,10,75266
270,14630,14630,1327.0,7,2018,3,0,0,5,1,4.0,0,2,0,0,8,12,75266
271,6459,6459,906.8381278879118,4,2015,1,0,0,2,2,6.0,0,0,0,0,3,12,75266
272,14343,14343,1017.0,5,2017,1,0,0,2,1,4.0,0,0,0,0,0,10,75266
273,4709,4709,906.8381278879118,2,2010,3,0,0,0,2,6.0,0,1,0,0,1,12,75266
274,1993,1993,906.8381278879118,7,2014,1,1,1,5,2,4.0,2,0,0,0,1,6,75266
275,579,579,906.8381278879118,1,2012,1,0,0,3,3,8.0,0,0,0,0,0,10,75266
276,1162,1162,1156.0,10,2017,1,0,0,5,2,4.0,1,2,0,0,4,4,75160
277,15659,15659,2418.0,1,2018,3,0,0,0,1,8.0,1,1,0,0,0,12,74953
278,1316,1316,830.0,12,2019,9,0,0,5,1,4.0,1,2,0,0,0,4,74796
279,13093,13093,906.8381278879118,13,2019,4,1,1,2,0,4.0,2,0,0,0,3,4,74639
280,4520,4520,1077.0,11,2019,1,0,1,5,2,4.0,1,2,0,0,3,4,73714
281,15433,15433,1104.0,4,2015,3,0,0,2,2,6.0,0,1,0,0,3,12,73698
282,11021,11021,891.0,4,2016,1,0,0,2,2,4.0,0,0,0,0,2,12,73698
283,10098,10098,906.8381278879118,7,2019,3,0,0,5,0,4.0,1,2,0,0,6,12,73698
284,6327,6327,517.0,7,2014,1,0,2,0,2,6.0,0,0,0,0,1,12,73698
285,7430,7430,906.8381278879118,4,2013,3,0,0,2,3,6.0,0,1,0,0,1,0,73698
