,Price
1585,13877
1586,4861
1587,10976
1588,8624
1589,15718
1590,22580
1591,120
1592,7683
1593,1333
1594,10663
1595,22332
1596,1803
1597,549
1598,27924
1599,15053
1600,14834
1601,16480
1602,17719
1603,2430
1604,7213
1605,47
1606,4077
1607,7840
1608,16935
1609,41547
1610,21950
1611,18189
1612,627
1613,2822
1614,314
1615,706
1616,15524
1617,5018
1618,16308
1619,32035
1620,9879
1621,8154
1622,7527
1623,18189
1624,18500
1625,150
1626,10192
1627,4391
1628,40092
1629,3763
1630,21953
1631,39226
1632,52034
1633,51075
1634,16500
1635,157
1636,627
1637,16549
1638,28225
1639,549
1640,11290
1641,627
1642,1646
1643,16960
1644,100
1645,20385
1646,16621
1647,6586
1648,188
1649,17876
1650,12184
1651,26927
1652,18817
1653,16766
1654,12231
1655,20385
1656,4704
1657,8781
1658,627
1659,32929
1660,21893
1661,4704
1662,39201
1663,18817
1664,1019
1665,13485
1666,12548
1667,14740
1668,157
1669,13172
1670,23104
1671,10976
1672,7056
1673,24775
1674,10976
1675,4861
1676,7213
1677,20846
1678,23301
1679,27654
1680,14426
1681,9722
1682,26475
1683,4234
1684,40142
1685,20526
1686,10036
1687,120
1688,26971
1689,13987
1690,392
1691,9408
1692,8467
1693,17876
1694,2437
1695,6586
1696,22894
1697,27598
1698,141124
1699,59586
1700,706
1701,10349
1702,16308
1703,96071
1704,30
1705,22649
1706,20385
1707,25716
1708,47
1709,12231
1710,94
1711,2587
1712,15681
1713,15053
1714,20385
1715,14740
1716,10036
1717,38000
1718,3607
1719,10036
1720,17249
1721,17942
1722,14113
1723,9418
1724,11917
1725,9722
1726,3293
1727,17405
1728,26657
1729,36065
1730,1019
1731,41886
1732,23521
1733,18503
1734,16308
1735,35124
1736,3293
1737,17249
1738,941
1739,4704
1740,15681
1741,12544
1742,5018
1743,19444
1744,2587
1745,18814
1746,14740
1747,21410
1748,7213
1749,7213
1750,31361
1751,66485
1752,38260
1753,4391
1754,10506
1755,10349
1756,706
1757,8781
1758,71817
1759,37633
1760,18817
1761,65052
1762,8311
1763,470
1764,19121
1765,27654
1766,549
1767,9600
1768,56450
1769,172486
1770,13900
1771,11917
1772,5959
1773,12544
1774,19757
1775,29793
1776,25089
1777,282
1778,72130
1779,20385
1780,42717
1781,45210
1782,15681
1783,13485
1784,6115
1785,19130
1786,46728
1787,16935
1788,33500
1789,220
1790,10660
1791,6586
1792,36834
1793,54255
1794,38400
1795,21953
1796,314
1797,25591
1798,14454
1799,2822
1800,47042
1801,13015
1802,38888
1803,18500
1804,55638
1805,78403
1806,34497
1807,5331
1808,54393
1809,314
1810,39201
1811,784
1812,31
1813,36065
1814,784
1815,10349
1816,1019
1817,20071
1818,706
1819,4077
1820,114468
1821,15681
1822,19757
1823,46101
1824,18189
1825,5959
1826,706
1827,39085
1828,21953
1829,37633
1830,8467
1831,220
1832,8500
1833,941
1834,9095
1835,17249
1836,18817
1837,862
1838,37125
1839,314
1840,4234
1841,24148
1842,14113
1843,2430
1844,25
1845,30151
1846,862
1847,14113
1848,63976
1849,862
1850,47042
1851,4234
1852,12544
1853,30784
1854,282
1855,15681
1856,15053
1857,18000
1858,49751
1859,10349
1860,6600
1861,12858
1862,157
1863,10976
1864,110
1865,16308
1866,16621
1867,14426
1868,27924
1869,2000
1870,10976
1871,18503
1872,68144
1873,314
1874,16308
1875,9408
1876,1882
1877,46728
1878,9722
1879,9252
1880,13093
1881,11227
1882,23521
1883,16465
1884,470
1885,14426
1886,14069
1887,1176
1888,37633
1889,32615
1890,34102
1891,50
1892,10036
1893,7370
1894,13799
1895,7840
1896,4500
1897,19444
1898,85702
1899,15994
1900,7840
1901,9722
1902,10976
1903,5300
1904,13799
1905,392
1906,11917
1907,2274
1908,20372
1909,15718
1910,10349
1911,11886
1912,5331
1913,56509
1914,11604
1915,3607
1916,19130
1917,9408
1918,48202
1919,627
1920,25089
1921,2117
1922,392
1923,51802
1924,58971
1925,5488
1926,20266
1927,16308
1928,13799
1929,19444
1930,18240
1931,14834
1932,7213
1933,21953
1934,19757
1935,392
1936,7213
1937,14113
1938,15367
1939,10976
1940,35338
1941,59464
1942,314
1943,2000
1944,15367
1945,27284
1946,16621
1947,11447
1948,15681
1949,12544
1950,13485
1951,13953
1952,12231
1953,15837
1954,15681
1955,1098
1956,24148
1957,39891
1958,627
1959,18503
1960,23060
1961,10349
1962,15125
1963,4077
1964,8154
1965,706
1966,62408
1967,7150
1968,45633
1969,5488
1970,24148
1971,2901
1972,6899
1973,21326
1974,7997
1975,6800
1976,2587
1977,13485
1978,40
1979,12134
1980,33243
1981,157
1982,18000
1983,25000
1984,12544
1985,35269
1986,314
1987,37633
1988,6586
1989,10349
1990,14740
1991,188
1992,10036
1993,8311
1994,24462
1995,4861
1996,23207
1997,14229
1998,13172
1999,38445
2000,21285
2001,9252
2002,784
2003,11604
2004,470
2005,32929
2006,10036
2007,16621
2008,14740
2009,11447
2010,18240
2011,7260
2012,21636
2013,220
2014,3136
2015,157
2016,3700
2017,941
2018,23436
2019,549
2020,28225
2021,14113
2022,10697
2023,16621
2024,9408
2025,12083
2026,14113
2027,7370
2028,392
2029,14740
2030,90006
2031,34387
2032,45473
2033,125
2034,37574
2035,50526
2036,19444
2037,28100
2038,1176
2039,8634
2040,21940
2041,1019
2042,95651
2043,16308
2044,16308
2045,22197
2046,18346
2047,18817
2048,11290
2049,65858
2050,13658
2051,17876
2052,4704
2053,37580
2054,15681
2055,9408
2056,21326
2057,2979
2058,4547
2059,31361
2060,14113
2061,18817
2062,5645
2063,19676
2064,14740
2065,22580
2066,21639
2067,36065
2068,941
2069,282
2070,29793
2071,5175
2072,42764
2073,13642
2074,21639
2075,10036
2076,30351
2077,15530
2078,16308
2079,20385
2080,188
2081,10036
2082,8781
2083,5175
2084,13946
2085,3136
2086,26030
2087,32973
2088,220
2089,55509
2090,862
2091,3293
2092,27259
2093,6272
2094,13172
2095,470
2096,17553
2097,15612
2098,24596
2099,31
2100,39201
2101,11917
2102,8781
2103,549
2104,23521
2105,392
2106,15257
2107,12544
2108,27889
2109,59586
2110,24775
2111,188
2112,941
2113,157
2114,12544
2115,14113
2116,7527
2117,19914
2118,2509
2119,4234
2120,5018
2121,20385
2122,3293
2123,47408
2124,314
2125,9252
2126,12388
2127,7683
2128,50805
2129,2195
2130,7840
2131,4547
2132,24775
2133,12777
2134,24000
2135,16308
2136,7370
2137,706
2138,27065
2139,17249
2140,21326
2141,392
2142,15681
2143,14740
2144,21181
2145,10036
2146,38580
2147,11000
2148,4077
2149,8154
2150,10976
2151,220
2152,18817
2153,44043
2154,6586
2155,9879
2156,21326
2157,392
2158,51118
2159,9832
2160,27911
2161,23521
2162,6429
2163,26770
2164,34406
2165,10092
2166,45825
2167,21953
2168,1411
2169,19444
2170,35808
2171,77775
2172,15681
2173,8467
2174,470
2175,10976
2176,47042
2177,14740
2178,15681
2179,36065
2180,10663
2181,14113
2182,51746
2183,11563
2184,5018
2185,470
2186,10663
2187,17249
2188,50178
2189,5488
2190,21012
2191,59313
2192,34497
2193,7683
2194,22580
2195,30517
2196,8311
2197,35908
2198,10349
2199,27190
2200,14426
2201,17249
2202,7213
2203,6981
2204,40362
2205,1568
2206,19726
2207,24148
2208,34240
2209,20855
2210,11760
2211,64290
2212,30063
2213,17923
2214,15053
2215,3900
2216,14740
2217,14426
2218,1254
2219,9408
2220,13172
2221,10349
2222,13172
2223,11290
2224,27911
2225,11290
2226,2117
2227,65
2228,7840
2229,784
2230,157
2231,392
2232,19444
2233,5802
2234,7840
2235,16621
2236,19757
2237,11604
2238,23521
2239,18817
2240,30734
2241,16621
2242,11917
2243,17562
2244,627
2245,7683
2246,7840
2247,11917
2248,18189
2249,15681
2250,56136
2251,40889
2252,32377
2253,2430
2254,784
2255,18500
2256,4547
2257,17900
2258,10663
2259,37633
2260,10976
2261,40769
2262,25299
2263,20883
2264,549
2265,17562
2266,784
2267,24123
2268,9879
2269,18189
2270,1000
2271,392
2272,17249
2273,27946
2274,40340
2275,19757
2276,18973
2277,9408
2278,3136
2279,34497
2280,17876
2281,27284
2282,3136
2283,6272
2284,36379
2285,4704
2286,26657
2287,15681
2288,62948
2289,15681
2290,11917
2291,2038
2292,67426
2293,27284
2294,14269
2295,51746
2296,54186
2297,5488
2298,24891
2299,32302
2300,20385
2301,21950
2302,7683
2303,10976
2304,13172
2305,19601
2306,2430
2307,15367
2308,17876
2309,12544
2310,27284
2311,1960
2312,13877
2313,13771
2314,862
2315,81808
2316,35046
2317,13476
2318,21953
2319,29777
2320,1882
2321,627
2322,314
2323,22197
2324,25089
2325,188
2326,11133
2327,4704
2328,11604
2329,200
2330,21181
2331,38574
2332,392
2333,7840
2334,22580
2335,17249
2336,20385
2337,13000
2338,549
2339,31211
2340,10976
2341,31797
2342,4704
2343,392
2344,62697
2345,8000
2346,53154
2347,5018
2348,7527
2349,11133
2350,6586
2351,17876
2352,24415
2353,47669
2354,12701
2355,100
2356,1098
2357,5018
2358,14740
2359,11964
2360,157
2361,1490
2362,19657
2363,8467
2364,12544
2365,7997
2366,40
2367,941
2368,549
2369,282
2370,50178
2371,10976
2372,8467
2373,35438
2374,12231
2375,39201
2376,20068
2377,27598
2378,14113
2379,18033
2380,5018
2381,7840
2382,24458
2383,10976
2384,45633
2385,188
2386,100060
2387,549
2388,40556
2389,19444
2390,17249
2391,12529
2392,10349
2393,49143
2394,16308
2395,14113
2396,5018
2397,18817
2398,4861
2399,18240
2400,7524
2401,12544
2402,14113
2403,21937
2404,1803
2405,15681
2406,188
2407,16621
2408,23521
2409,43655
2410,9408
2411,16308
2412,13796
2413,8154
2414,13485
2415,9565
2416,15681
2417,27654
2418,2979
2419,14966
2420,9408
2421,13328
2422,22649
2423,34497
2424,15053
2425,9252
2426,41400
2427,392
2428,157
2429,10349
2430,10976
2431,16308
2432,549
2433,69
2434,16621
2435,4077
2436,34811
2437,1254
2438,2901
2439,11447
2440,3700
2441,11917
2442,22266
2443,25032
2444,1882
2445,21953
2446,26149
2447,7053
2448,15681
2449,14113
2450,8947
2451,392
2452,24462
2453,6272
2454,8000
2455,81539
2456,251
2457,3450
2458,157
2459,20385
2460,20385
2461,40769
2462,14426
2463,19000
2464,18616
2465,22580
2466,706
2467,20071
2468,3700
2469,4632
2470,16308
2471,1254
2472,14740
2473,25716
2474,9565
2475,18503
2476,1019
2477,18817
2478,10349
2479,120
2480,21395
2481,17249
2482,2587
2483,15681
2484,35438
2485,40983
2486,13485
2487,53000
2488,16935
2489,10349
2490,25
2491,16935
2492,706
2493,941
2494,15681
2495,9565
2496,10349
2497,5865
2498,35043
2499,6115
2500,30583
2501,27911
2502,34500
2503,13172
2504,2195
2505,21330
2506,12544
2507,18189
2508,220
2509,5488
2510,10000
2511,41281
2512,45633
2513,3136
2514,188
2515,7056
2516,15681
2517,34074
2518,61286
2519,8467
2520,1098
2521,22894
2522,7840
2523,2038
2524,19757
2525,392
2526,14426
2527,1646
2528,4980
2529,15053
2530,15681
2531,16621
2532,7527
2533,706
2534,13328
2535,28225
2536,46919
2537,6429
2538,94
2539,18189
2540,7527
2541,2195
2542,9879
2543,40769
2544,3136
2545,13328
2546,11290
2547,12849
2548,941
2549,44752
2550,5488
2551,6586
2552,25089
2553,8154
