,Unnamed: 0,ID,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Price
11941,11941,45761450,906.8381278879118,BMW,X5 M,2015,Jeep,Yes,Petrol,> 3 & <= 5 turbo,30km to 100km,8.0,Automatic,4x4,04-May,Left wheel,Blue,12,156805
15413,15413,45801212,1823.0,BMW,M3,2018,Sedan,Yes,Petrol,> 3 & <= 5 turbo,Between 10km,12.0,Manual,Rear,04-May,Left wheel,Black,16,153669
17868,17868,43720197,906.8381278879118,JAGUAR,F-type R,2015,Sedan,Yes,Petrol,> 3 & <= 5 turbo,30km to 100km,8.0,Tiptronic,Rear,02-Mar,Left wheel,Orange,6,150533
10423,10423,44650638,1575.0,LAND ROVER,Range Rover Velar,2018,Jeep,Yes,Petrol,<= 3 turbo,10km to 30km,6.0,Tiptronic,4x4,04-May,Left wheel,White,12,150533
7997,7997,45812826,1869.0,JEEP,Wrangler,2019,Jeep,Yes,Petrol,> 3 & <= 5 No turbo,10km to 30km,6.0,Automatic,4x4,04-May,Left wheel,Grey,16,147397
18881,18881,44587551,906.8381278879118,JAGUAR,F-pace,2017,Jeep,No,Diesel,<= 3 No turbo,10km to 30km,1.0,Automatic,4x4,04-May,Left wheel,Grey,0,147397
13265,13265,39856789,906.8381278879118,BMW,M4 Competition,2017,Coupe,Yes,Petrol,<= 3 turbo,10km to 30km,6.0,Tiptronic,Rear,02-Mar,Left wheel,Orange,12,144261
3006,3006,45747002,906.8381278879118,LAND ROVER,Land Rover Sport,2015,Jeep,Yes,Diesel,<= 3 turbo,30km to 100km,6.0,Tiptronic,4x4,04-May,Left wheel,Black,12,141124
7031,7031,45789817,1304.0,BMW,M6,2013,Coupe,Yes,Petrol,> 3 & <= 5 turbo,30km to 100km,8.0,Tiptronic,Rear,04-May,Left wheel,Black,12,141124
9200,9200,45748414,1575.0,MERCEDES-BENZ,GLS 450,2018,Jeep,Yes,Petrol,<= 3 No turbo,30km to 100km,6.0,Tiptronic,4x4,04-May,Left wheel,Black,12,141124
16667,16667,45107574,1481.0,MERCEDES-BENZ,GLE 43 AMG,2017,Coupe,Yes,Petrol,<= 3 turbo,10km to 30km,6.0,Automatic,4x4,04-May,Left wheel,White,12,141124
14763,14763,45517726,906.8381278879118,MERCEDES-BENZ,S 550,2014,Sedan,Yes,Petrol,> 3 & <= 5 turbo,100km and above,8.0,Tiptronic,Rear,04-May,Left wheel,Black,12,141124
13760,13760,45282558,906.8381278879118,MERCEDES-BENZ,GLC 250,2018,Jeep,Yes,Petrol,<= 3 turbo,30km to 100km,8.0,Tiptronic,4x4,04-May,Left wheel,Black,12,141124
12750,12750,45809098,2566.0,FORD,Mustang,2018,Coupe,Yes,Petrol,> 3 & <= 5 No turbo,10km to 30km,4.0,Automatic,Front,04-May,Left wheel,Black,4,137885
6457,6457,45025127,1493.0,MERCEDES-BENZ,GLE 350,2016,Jeep,Yes,Petrol,> 3 & <= 5 No turbo,30km to 100km,6.0,Tiptronic,Rear,04-May,Left wheel,Grey,12,136420
17962,17962,45474920,1575.0,MERCEDES-BENZ,GLE 400,2018,Jeep,Yes,Petrol,<= 3 turbo,30km to 100km,6.0,Tiptronic,4x4,04-May,Left wheel,White,10,136000
1179,1179,45768671,690.0,LEXUS,RX 450,2016,Jeep,Yes,Hybrid,> 3 & <= 5 No turbo,30km to 100km,6.0,Tiptronic,4x4,04-May,Left wheel,Black,12,133284
3570,3570,45809069,1493.0,FORD,F150,2016,Sedan,Yes,Petrol,> 3 & <= 5 No turbo,30km to 100km,4.0,Automatic,Front,04-May,Left wheel,White,4,132971
9120,9120,45283485,1017.0,MERCEDES-BENZ,GLC 300 GLC coupe,2017,Jeep,Yes,Petrol,<= 3 turbo,10km to 30km,8.0,Tiptronic,4x4,04-May,Left wheel,White,12,131716
1027,1027,45038100,906.8381278879118,TOYOTA,Land Cruiser Prado,2018,Jeep,Yes,Diesel,<= 3 turbo,30km to 100km,4.0,Automatic,4x4,04-May,Left wheel,Black,12,131716
10253,10253,45785166,906.8381278879118,TOYOTA,Land Cruiser Prado,2018,Jeep,Yes,Diesel,<= 3 turbo,Between 10km,6.0,Automatic,4x4,04-May,Left wheel,White,12,131716
6748,6748,45283485,1017.0,MERCEDES-BENZ,GLC 300 GLC coupe,2017,Jeep,Yes,Petrol,<= 3 turbo,10km to 30km,8.0,Tiptronic,4x4,04-May,Left wheel,White,12,131716
18231,18231,45183554,906.8381278879118,TOYOTA,Land Cruiser,2018,Jeep,Yes,Diesel,<= 3 turbo,30km to 100km,4.0,Automatic,4x4,04-May,Left wheel,Black,12,131716
14473,14473,45283485,1017.0,MERCEDES-BENZ,GLC 300 GLC coupe,2017,Jeep,Yes,Petrol,<= 3 turbo,10km to 30km,8.0,Tiptronic,4x4,04-May,Left wheel,White,12,131716
1401,1401,45802554,1968.0,HYUNDAI,Santa FE,2019,Jeep,Yes,Petrol,> 3 & <= 5 No turbo,10km to 30km,4.0,Automatic,Front,04-May,Left wheel,White,4,131308
15496,15496,45816476,906.8381278879118,MERCEDES-BENZ,S 350,2015,Sedan,Yes,Diesel,> 3 & <= 5 turbo,30km to 100km,6.0,Automatic,Rear,04-May,Left wheel,Black,16,130148
14151,14151,45049953,1493.0,MERCEDES-BENZ,GLE 350,2016,Jeep,Yes,Petrol,> 3 & <= 5 No turbo,30km to 100km,6.0,Tiptronic,4x4,04-May,Left wheel,Grey,12,129521
18018,18018,45740382,906.8381278879118,JEEP,Cherokee,2018,Jeep,Yes,Diesel,<= 3 turbo,10km to 30km,6.0,Automatic,4x4,04-May,Left wheel,Grey,12,127000
15966,15966,45809064,1493.0,FORD,F150,2016,Sedan,Yes,Petrol,> 3 & <= 5 No turbo,30km to 100km,4.0,Automatic,Front,04-May,Left wheel,White,4,126322
4183,4183,45795846,1604.0,MERCEDES-BENZ,S 550,2014,Sedan,Yes,Petrol,> 5 & <= 10 No turbo,30km to 100km,8.0,Tiptronic,Front,04-May,Left wheel,Silver,12,125500
11247,11247,45781858,906.8381278879118,JAGUAR,E-pace,2018,Jeep,Yes,Petrol,<= 3 turbo,10km to 30km,6.0,Tiptronic,4x4,04-May,Left wheel,White,12,125444
3216,3216,45809613,1077.0,HONDA,Civic,2019,Universal,Yes,Petrol,<= 3 No turbo,Between 10km,4.0,Automatic,Front,04-May,Left wheel,Black,4,124989
8629,8629,45802553,1176.0,HYUNDAI,Santa FE,2019,Jeep,Yes,Diesel,<= 3 No turbo,10km to 30km,4.0,Automatic,Front,04-May,Left wheel,Brown,4,123330
12588,12588,45712786,906.8381278879118,PORSCHE,Cayenne,2015,Jeep,Yes,Diesel,<= 3 turbo,100km and above,6.0,Tiptronic,4x4,04-May,Left wheel,White,9,122308
12101,12101,43965200,906.8381278879118,TOYOTA,Land Cruiser Prado,2018,Jeep,Yes,Diesel,<= 3 turbo,30km to 100km,6.0,Tiptronic,4x4,04-May,Left wheel,Blue,12,121681
4919,4919,45773951,3057.0,MERCEDES-BENZ,CLS 55 AMG,2019,Sedan,Yes,Petrol,> 5 & <= 10 No turbo,Between 10km,12.0,Automatic,Rear,04-May,Left wheel,Black,12,121524
15267,15267,45811590,2297.0,MERCEDES-BENZ,G 63 AMG,2016,Jeep,Yes,Petrol,> 5 & <= 10 No turbo,30km to 100km,8.0,Automatic,4x4,04-May,Left wheel,White,12,120740
3028,3028,45047684,906.8381278879118,LEXUS,RX 350 F sport,2016,Jeep,Yes,Petrol,> 3 & <= 5 No turbo,30km to 100km,6.0,Tiptronic,4x4,04-May,Left wheel,Black,8,119172
6607,6607,32171534,906.8381278879118,MERCEDES-BENZ,230 W153,1943,Sedan,Yes,Petrol,<= 3 No turbo,30km to 100km,4.0,Automatic,Rear,04-May,Left wheel,White,0,119172
573,573,45731517,1301.0,BMW,M6,2014,Coupe,Yes,Petrol,> 3 & <= 5 turbo,30km to 100km,8.0,Tiptronic,Rear,04-May,Left wheel,White,12,119172
13954,13954,45809052,1342.0,FORD,F150,2017,Sedan,Yes,Petrol,<= 3 No turbo,10km to 30km,4.0,Automatic,Front,04-May,Left wheel,White,4,119009
16841,16841,45802552,1968.0,HYUNDAI,Santa FE,2019,Jeep,Yes,Petrol,> 3 & <= 5 No turbo,10km to 30km,4.0,Automatic,Front,04-May,Left wheel,White,4,118676
5322,5322,45808902,1228.0,FORD,Explorer,2018,Jeep,Yes,Petrol,<= 3 No turbo,10km to 30km,4.0,Automatic,Front,04-May,Left wheel,White,4,118519
7010,7010,45157625,906.8381278879118,PORSCHE,911,2008,Coupe,Yes,Petrol,> 3 & <= 5 No turbo,100km and above,6.0,Tiptronic,Rear,02-Mar,Left wheel,Black,6,117604
5987,5987,45788500,906.8381278879118,JAGUAR,F-pace,2016,Jeep,Yes,Diesel,<= 3 No turbo,30km to 100km,4.0,Automatic,4x4,04-May,Right-hand drive,Carnelian red,12,117604
740,740,45791450,906.8381278879118,MERCEDES-BENZ,S 350 W2222,2014,Sedan,Yes,Diesel,<= 3 turbo,100km and above,6.0,Tiptronic,Rear,04-May,Left wheel,Black,12,117290
13114,13114,43153632,906.8381278879118,TOYOTA,Highlander,2017,Jeep,Yes,Hybrid,> 3 & <= 5 No turbo,10km to 30km,4.0,Tiptronic,4x4,04-May,Left wheel,White,12,116036
2353,2353,45804409,1325.0,MERCEDES-BENZ,X 250,2019,Pickup,Yes,Diesel,<= 3 No turbo,Between 10km,4.0,Automatic,4x4,04-May,Left wheel,Silver,12,116036
6953,6953,45369356,1292.0,LAND ROVER,Land Rover Sport,2016,Jeep,Yes,Petrol,<= 3 No turbo,30km to 100km,6.0,Tiptronic,4x4,04-May,Left wheel,White,10,114468
12420,12420,40471256,915.0,LAND ROVER,Range Rover,2014,Jeep,Yes,Diesel,<= 3 turbo,100km and above,6.0,Automatic,4x4,04-May,Left wheel,White,12,114468
1970,1970,39854899,915.0,LAND ROVER,Land Rover Sport,2014,Jeep,Yes,Diesel,<= 3 turbo,100km and above,6.0,Automatic,4x4,04-May,Left wheel,White,12,114468
12554,12554,45368138,1104.0,BMW,X6,2015,Jeep,Yes,Petrol,<= 3 No turbo,30km to 100km,6.0,Tiptronic,4x4,04-May,Left wheel,Black,10,114468
8164,8164,45434004,1017.0,BMW,530,2017,Sedan,Yes,Petrol,<= 3 turbo,30km to 100km,12.0,Tiptronic,Rear,04-May,Left wheel,White,12,114154
14255,14255,45804430,518.0,LEXUS,NX 300,2016,Jeep,Yes,Hybrid,<= 3 No turbo,30km to 100km,4.0,Automatic,Front,04-May,Left wheel,White,4,113025
1609,1609,45001116,906.8381278879118,MITSUBISHI,Pajero Sport,2019,Jeep,Yes,Petrol,<= 3 No turbo,Between 10km,6.0,Tiptronic,4x4,04-May,Left wheel,White,10,112900
9013,9013,44732858,906.8381278879118,AUDI,A8,2016,Sedan,Yes,Petrol,<= 3 turbo,30km to 100km,6.0,Tiptronic,4x4,04-May,Left wheel,Black,12,111332
18640,18640,44080587,906.8381278879118,LEXUS,GX 460,2014,Jeep,Yes,Petrol,> 3 & <= 5 No turbo,30km to 100km,8.0,Tiptronic,4x4,04-May,Left wheel,Black,10,111332
3101,3101,45781346,906.8381278879118,TOYOTA,Land Cruiser,2013,Jeep,Yes,Petrol,> 3 & <= 5 No turbo,100km and above,8.0,Tiptronic,4x4,04-May,Left wheel,Black,8,111332
18815,18815,45808873,1228.0,FORD,Explorer,2018,Jeep,Yes,Petrol,<= 3 No turbo,30km to 100km,4.0,Automatic,Front,04-May,Left wheel,Grey,4,111002
2922,2922,45788165,906.8381278879118,MERCEDES-BENZ,C 63 AMG,2011,Sedan,Yes,Petrol,> 5 and <= 10 turbo,30km to 100km,8.0,Tiptronic,Rear,02-Mar,Left wheel,Red,10,109764
6096,6096,45382432,906.8381278879118,MERCEDES-BENZ,X 250 ევროპული,2018,Pickup,Yes,Diesel,<= 3 turbo,30km to 100km,8.0,Automatic,4x4,04-May,Left wheel,Blue,0,109764
17666,17666,45810524,1575.0,TOYOTA,Land Cruiser Prado,2018,Jeep,No,Diesel,<= 3 turbo,10km to 30km,6.0,Automatic,4x4,04-May,Left wheel,White,6,109764
10577,10577,45808848,1228.0,FORD,Explorer,2018,Jeep,Yes,Petrol,<= 3 No turbo,10km to 30km,4.0,Automatic,Front,04-May,Left wheel,White,4,108371
6825,6825,45809046,1053.0,FORD,F150,2014,Sedan,Yes,Petrol,> 3 & <= 5 No turbo,30km to 100km,4.0,Automatic,Front,04-May,Left wheel,White,4,107841
16084,16084,45804434,518.0,LEXUS,NX 300,2016,Jeep,Yes,Hybrid,<= 3 No turbo,30km to 100km,4.0,Automatic,Front,04-May,Left wheel,Grey,4,106957
12303,12303,45802541,1176.0,HYUNDAI,Santa FE,2019,Minivan,Yes,Diesel,<= 3 No turbo,10km to 30km,4.0,Automatic,Front,04-May,Left wheel,White,4,106668
7723,7723,45151658,1017.0,BMW,530 G30,2017,Sedan,Yes,Petrol,<= 3 turbo,10km to 30km,4.0,Tiptronic,Rear,04-May,Left wheel,Grey,12,106627
17471,17471,44036373,906.8381278879118,CHEVROLET,Camaro,2017,Coupe,No,Petrol,> 5 & <= 10 No turbo,10km to 30km,8.0,Manual,Rear,02-Mar,Left wheel,Green,10,106627
9247,9247,43374774,906.8381278879118,PORSCHE,Panamera 4,2014,Sedan,Yes,Petrol,> 3 & <= 5 No turbo,30km to 100km,6.0,Tiptronic,4x4,04-May,Left wheel,Grey,12,106627
1265,1265,45324859,906.8381278879118,BMW,X6,2015,Jeep,Yes,Diesel,> 3 & <= 5 turbo,100km and above,6.0,Tiptronic,4x4,>5,Left wheel,Black,12,106627
14193,14193,45253360,906.8381278879118,LEXUS,LX 570,2013,Jeep,Yes,Petrol,> 5 & <= 10 No turbo,100km and above,8.0,Tiptronic,4x4,04-May,Left wheel,Black,12,106627
10390,10390,45809039,1058.0,FORD,F150,2012,Sedan,Yes,Petrol,> 3 & <= 5 No turbo,30km to 100km,4.0,Automatic,Front,04-May,Left wheel,Black,4,104216
14952,14952,45487473,906.8381278879118,PORSCHE,Cayenne,2013,Jeep,Yes,Diesel,<= 3 turbo,30km to 100km,6.0,Tiptronic,4x4,04-May,Left wheel,Black,12,103491
10238,10238,45694885,906.8381278879118,BMW,X5,2018,Jeep,Yes,Diesel,<= 3 turbo,30km to 100km,6.0,Tiptronic,4x4,04-May,Left wheel,Blue,12,103491
11131,11131,45813717,906.8381278879118,TOYOTA,Land Cruiser,2015,Jeep,No,Diesel,> 3 & <= 5 turbo,30km to 100km,8.0,Manual,4x4,04-May,Left wheel,White,0,103491
8910,8910,41177629,1104.0,BMW,640 M,2015,Sedan,Yes,Petrol,<= 3 turbo,30km to 100km,6.0,Tiptronic,4x4,04-May,Left wheel,White,12,103491
10619,10619,45793295,906.8381278879118,OPEL,Combo,2008,Goods wagon,No,Diesel,<= 3 turbo,100km and above,4.0,Manual,Front,02-Mar,Left wheel,White,2,103491
13884,13884,45780625,906.8381278879118,TOYOTA,Land Cruiser 200,2012,Jeep,Yes,Diesel,> 3 & <= 5 turbo,30km to 100km,8.0,Tiptronic,4x4,04-May,Left wheel,Grey,12,103491
11537,11537,40648715,906.8381278879118,PORSCHE,macan S,2015,Jeep,Yes,Petrol,<= 3 turbo,30km to 100km,6.0,Tiptronic,4x4,04-May,Left wheel,Grey,12,103178
9138,9138,45806180,906.8381278879118,JAGUAR,E-pace p200,2020,Jeep,No,Petrol,<= 3 No turbo,Between 10km,4.0,Tiptronic,4x4,04-May,Left wheel,Black,12,101923
7760,7760,45611161,906.8381278879118,MERCEDES-BENZ,GL 550,2015,Jeep,Yes,Petrol,> 3 & <= 5 No turbo,100km and above,8.0,Tiptronic,4x4,04-May,Left wheel,White,12,101923
6950,6950,45813760,1482.0,FERRARI,456,2011,Coupe,Yes,Petrol,> 3 & <= 5 No turbo,10km to 30km,8.0,Automatic,Rear,02-Mar,Left wheel,Yellow,12,101923
18383,18383,45754210,906.8381278879118,LEXUS,GS 350,2017,Sedan,Yes,Petrol,> 3 & <= 5 No turbo,10km to 30km,6.0,Automatic,4x4,04-May,Left wheel,Silver,12,100355
6152,6152,45815648,1292.0,MERCEDES-BENZ,CLS 550,2016,Sedan,Yes,Petrol,<= 3 turbo,30km to 100km,6.0,Automatic,4x4,04-May,Left wheel,Black,0,100355
15367,15367,42303965,1714.0,MERCEDES-BENZ,GLE 350,2017,Jeep,Yes,Petrol,> 3 & <= 5 No turbo,30km to 100km,6.0,Tiptronic,4x4,04-May,Left wheel,Grey,12,100355
16614,16614,42571375,906.8381278879118,PORSCHE,Panamera GTS,2013,Sedan,Yes,Petrol,> 3 & <= 5 No turbo,30km to 100km,8.0,Tiptronic,4x4,04-May,Left wheel,Silver,12,100355
316,316,45814316,906.8381278879118,AUDI,A7 Prestige,2016,Sedan,Yes,Petrol,<= 3 turbo,30km to 100km,6.0,Automatic,4x4,04-May,Left wheel,Black,12,100355
3705,3705,45237191,906.8381278879118,BMW,X5,2014,Jeep,Yes,Petrol,> 3 & <= 5 turbo,Between 10km,8.0,Tiptronic,4x4,>5,Left wheel,Black,12,100355
15048,15048,45722415,915.0,BMW,X5,2014,Jeep,Yes,Diesel,<= 3 turbo,100km and above,6.0,Tiptronic,4x4,04-May,Left wheel,White,12,100355
18376,18376,45803018,1176.0,HYUNDAI,Santa FE,2019,Jeep,Yes,Diesel,<= 3 No turbo,10km to 30km,4.0,Automatic,Front,04-May,Left wheel,Grey,4,100060
10230,10230,45804437,518.0,LEXUS,NX 300,2016,Jeep,Yes,Hybrid,<= 3 No turbo,30km to 100km,4.0,Automatic,Front,04-May,Left wheel,White,4,99440
14181,14181,45808855,1156.0,FORD,Explorer,2017,Jeep,Yes,Petrol,<= 3 No turbo,30km to 100km,4.0,Automatic,Front,04-May,Left wheel,Black,4,99440
9405,9405,45781828,1356.0,LEXUS,GX 460,2014,Jeep,Yes,Petrol,> 3 & <= 5 No turbo,30km to 100km,8.0,Tiptronic,4x4,04-May,Left wheel,Grey,12,98787
2728,2728,45808865,1714.0,FORD,Explorer,2017,Jeep,Yes,Petrol,> 3 & <= 5 No turbo,10km to 30km,4.0,Automatic,Front,04-May,Left wheel,White,4,98282
10372,10372,45802548,1176.0,HYUNDAI,Santa FE,2019,Minivan,Yes,Diesel,<= 3 No turbo,10km to 30km,4.0,Automatic,Front,04-May,Left wheel,White,4,98066
3997,3997,45803020,1077.0,HYUNDAI,Santa FE,2019,Jeep,Yes,Diesel,<= 3 No turbo,10km to 30km,4.0,Automatic,Front,04-May,Left wheel,White,4,97401
11109,11109,45802849,1076.0,HYUNDAI,Santa FE,2020,Jeep,Yes,Diesel,<= 3 No turbo,30km to 100km,4.0,Automatic,Front,04-May,Left wheel,Grey,4,97235
10569,10569,45202115,906.8381278879118,MERCEDES-BENZ,CLS 450 CLS 400,2015,Sedan,Yes,Petrol,<= 3 turbo,30km to 100km,6.0,Tiptronic,4x4,04-May,Left wheel,Black,12,97219
1019,1019,44916461,1646.0,LEXUS,GX 460,2015,Jeep,Yes,Petrol,> 3 & <= 5 No turbo,30km to 100km,8.0,Tiptronic,4x4,04-May,Left wheel,Silver,10,97219
2365,2365,45792216,906.8381278879118,BMW,640 GRAN-COUPE,2013,Sedan,Yes,Petrol,<= 3 turbo,30km to 100km,6.0,Tiptronic,Rear,04-May,Left wheel,White,12,97219
19085,19085,45794339,1079.0,LEXUS,NX 300,2018,Jeep,Yes,Petrol,<= 3 turbo,10km to 30km,4.0,Tiptronic,Front,>5,Left wheel,White,7,97219
17728,17728,43889777,906.8381278879118,LEXUS,GX 460,2015,Jeep,Yes,Petrol,> 3 & <= 5 No turbo,30km to 100km,8.0,Automatic,4x4,04-May,Left wheel,White,12,97219
1626,1626,45732087,1076.0,HYUNDAI,Santa FE,2020,Jeep,Yes,Petrol,<= 3 No turbo,Between 10km,4.0,Automatic,Front,04-May,Left wheel,Grey,4,96915
15245,15245,45732085,1174.0,HYUNDAI,Santa FE,2020,Jeep,Yes,Diesel,<= 3 No turbo,Between 10km,4.0,Automatic,Front,04-May,Left wheel,White,4,96915
3641,3641,45732084,1076.0,HYUNDAI,Santa FE,2020,Jeep,Yes,Diesel,<= 3 No turbo,Between 10km,4.0,Automatic,Front,04-May,Left wheel,White,4,96749
12480,12480,45732083,1076.0,HYUNDAI,Santa FE,2020,Jeep,Yes,Diesel,<= 3 No turbo,Between 10km,4.0,Automatic,Front,04-May,Left wheel,Grey,4,96749
17463,17463,45809093,866.0,FORD,Mustang,2015,Sedan,Yes,Petrol,<= 3 No turbo,30km to 100km,4.0,Automatic,Front,04-May,Left wheel,White,4,96263
18941,18941,45809093,866.0,FORD,Mustang,2015,Sedan,Yes,Petrol,<= 3 No turbo,30km to 100km,4.0,Automatic,Front,04-May,Left wheel,White,4,96263
8437,8437,45803021,1178.0,HYUNDAI,Santa FE,2018,Jeep,Yes,Diesel,<= 3 No turbo,Between 10km,4.0,Automatic,Front,04-May,Left wheel,White,4,96071
1740,1740,45803021,1178.0,HYUNDAI,Santa FE,2018,Jeep,Yes,Diesel,<= 3 No turbo,Between 10km,4.0,Automatic,Front,04-May,Left wheel,White,4,96071
9166,9166,45802550,1176.0,HYUNDAI,Santa FE,2019,Minivan,Yes,Petrol,<= 3 No turbo,Between 10km,4.0,Automatic,Front,04-May,Left wheel,Blue,4,95739
5709,5709,45722256,915.0,BMW,X5,2014,Jeep,Yes,Diesel,<= 3 turbo,30km to 100km,6.0,Tiptronic,4x4,04-May,Left wheel,White,0,95651
15031,15031,45813605,906.8381278879118,MERCEDES-BENZ,Sprinter 516,2011,Microbus,Yes,Diesel,<= 3 turbo,100km and above,6.0,Manual,Rear,02-Mar,Left wheel,White,4,95000
11853,11853,45808895,1156.0,FORD,Explorer,2017,Jeep,Yes,Petrol,<= 3 No turbo,30km to 100km,4.0,Automatic,Front,04-May,Left wheel,White,4,94528
16873,16873,45789705,906.8381278879118,BMW,X5,2015,Jeep,Yes,Petrol,<= 3 turbo,30km to 100km,6.0,Tiptronic,4x4,04-May,Left wheel,Black,12,94083
14523,14523,45095554,906.8381278879118,PORSCHE,911,2005,Coupe,Yes,Petrol,> 3 & <= 5 No turbo,30km to 100km,6.0,Tiptronic,Rear,04-May,Left wheel,White,8,94083
2676,2676,45763237,1104.0,BMW,X5,2015,Jeep,Yes,Diesel,<= 3 turbo,30km to 100km,6.0,Tiptronic,4x4,04-May,Left wheel,Black,12,94083
12593,12593,44676343,906.8381278879118,MITSUBISHI,Pajero,2020,Jeep,Yes,Diesel,<= 3 turbo,Between 10km,6.0,Automatic,4x4,04-May,Left wheel,Black,12,94083
4629,4629,45791036,906.8381278879118,MERCEDES-BENZ,CLS 63 AMG,2012,Sedan,Yes,Petrol,> 5 and <= 10 turbo,100km and above,8.0,Tiptronic,4x4,04-May,Left wheel,Black,12,94083
17141,17141,44949023,1104.0,BMW,X5 M,2015,Jeep,Yes,Diesel,<= 3 turbo,30km to 100km,6.0,Tiptronic,4x4,04-May,Left wheel,Black,12,94083
